house ID,price,collected time,post code,address
{4C4EDFFF-3D51-1854-E050-A8C063054F34},445000,22/02/2017 00:00,E1 3NU,"TEMPLE COURT, 52  FLAT 8  RECTORY SQUARE"
{4C4EDFFF-3D52-1854-E050-A8C063054F34},710000,09/03/2017 00:00,E1 6UL,"VANBURGH HOUSE, 40  FLAT 2  FOLGATE STREET"
{4C4EDFFF-3D53-1854-E050-A8C063054F34},380000,10/03/2017 00:00,E16 1SD,24    HANOVER AVENUE
{4C4EDFFF-3D54-1854-E050-A8C063054F34},716000,24/02/2017 00:00,E14 8AY,"DUNDEE WHARF, 100  FLAT 109  THREE COLT STREET"
{4C4EDFFF-3D55-1854-E050-A8C063054F34},675000,16/03/2017 00:00,E17 6NL,9    CORNWALLIS ROAD
{4C4EDFFF-3D58-1854-E050-A8C063054F34},460000,24/02/2017 00:00,N21 1TH,32    ANDERSON CLOSE
{4C4EDFFF-3D5B-1854-E050-A8C063054F34},780000,24/02/2017 00:00,E1W 1YD,137    THOMAS MORE STREET
{4C4EDFFF-3D5E-1854-E050-A8C063054F34},445000,07/03/2017 00:00,N21 1HU,55    THE GREEN
{4C4EDFFF-3D60-1854-E050-A8C063054F34},580000,14/03/2017 00:00,N16 9AE,13    INDIGO MEWS
{4C4EDFFF-3D63-1854-E050-A8C063054F34},271000,23/02/2017 00:00,N16 7RT,112  FLAT 2  BROOKE ROAD
{4C4EDFFF-3D64-1854-E050-A8C063054F34},785000,17/02/2017 00:00,,"HALCYON HOUSE, 6  FLAT 10  PRIVATE ROAD"
{4C4EDFFF-3D65-1854-E050-A8C063054F34},525000,21/02/2017 00:00,E14 9NY,38    VANTAGE MEWS
{4C4EDFFF-3D66-1854-E050-A8C063054F34},419000,03/02/2017 00:00,E14 3AZ,6  FLAT 6  OBSERVATORY MEWS
{4C4EDFFF-3D67-1854-E050-A8C063054F34},345000,20/02/2017 00:00,E14 3LB,ELM HOUSE  FLAT 11  EAST FERRY ROAD
{4C4EDFFF-3D68-1854-E050-A8C063054F34},340000,17/02/2017 00:00,E6 3NP,120    MASTERMAN ROAD
{4C4EDFFF-3D69-1854-E050-A8C063054F34},343000,09/03/2017 00:00,N9 7AY,70    CROYLAND ROAD
{4C4EDFFF-3D6B-1854-E050-A8C063054F34},1100000,26/01/2017 00:00,E11 2EA,6    HEREFORD ROAD
{4C4EDFFF-3EDE-1854-E050-A8C063054F34},429000,01/03/2017 00:00,E17 4SQ,146  FLAT 2  HOWARD ROAD
{4C4EDFFF-3EE1-1854-E050-A8C063054F34},142500,17/02/2017 00:00,E2 8AT,"TIMBER WHARF, 240  15  KINGSLAND ROAD"
{4C4EDFFF-3EE3-1854-E050-A8C063054F34},425000,14/03/2017 00:00,E4 6SY,6    MOUNT AVENUE
{4C4EDFFF-3EE5-1854-E050-A8C063054F34},326000,03/03/2017 00:00,E15 1HL,36A    ASH ROAD
{4C4EDFFF-3EE6-1854-E050-A8C063054F34},710918,17/03/2017 00:00,E14 9LU,3  FLAT 133  LIMEHARBOUR
{47844C80-6557-8986-E050-A8C063056488},1159000,12/01/2017 00:00,SW15 1LR,12    ASHLONE ROAD
{47844C80-6558-8986-E050-A8C063056488},485000,17/01/2017 00:00,SW17 7PX,71C    MANDRAKE ROAD
{47844C80-655D-8986-E050-A8C063056488},378000,09/01/2017 00:00,SE15 4JR,26A  FLAT 1  PECKHAM RYE
{47844C80-655E-8986-E050-A8C063056488},358000,20/01/2017 00:00,SW17 9SP,DOLAND COURT  FLAT 21  RENMUIR STREET
{47844C80-6564-8986-E050-A8C063056488},380000,05/01/2017 00:00,SE16 3EA,"DA VINCI COURT, 1  FLAT 23  ROSSETTI ROAD"
{47844C80-6566-8986-E050-A8C063056488},550000,06/01/2017 00:00,SE27 0PT,8    FRANKLIN CLOSE
{47844C80-656A-8986-E050-A8C063056488},634000,13/01/2017 00:00,SE10 8TB,42    DUTTON STREET
{47844C80-656C-8986-E050-A8C063056488},540000,27/01/2017 00:00,SE4 1LR,22B    HAREFIELD ROAD
{47844C80-6570-8986-E050-A8C063056488},975000,13/01/2017 00:00,SW11 2JG,1    AMBROSE MEWS
{47844C80-6572-8986-E050-A8C063056488},322000,16/01/2017 00:00,SE14 6LA,"CROSSLEIGH COURT, 407B  FLAT 1  NEW CROSS ROAD"
{47844C80-6578-8986-E050-A8C063056488},380000,10/01/2017 00:00,SE6 3EW,47    ELFRIDA CRESCENT
{4C4EDFFF-3EE7-1854-E050-A8C063054F34},280000,27/02/2017 00:00,E14 9GA,35  FLAT 25  SHERWOOD GARDENS
{4C4EDFFF-3EE8-1854-E050-A8C063054F34},450000,10/02/2017 00:00,E15 1BL,1  FLAT 21  ANGEL LANE
{4C4EDFFF-3EE9-1854-E050-A8C063054F34},220000,13/03/2017 00:00,E13 0HB,168    GRANGE ROAD
{4C4EDFFF-3EEA-1854-E050-A8C063054F34},350000,06/03/2017 00:00,E17 5DY,248    BILLET ROAD
{4C4EDFFF-3EEC-1854-E050-A8C063054F34},497000,15/02/2017 00:00,E16 1BW,"ALASKA APARTMENTS, 22  FLAT 40  WESTERN GATEWAY"
{4C4EDFFF-3EEF-1854-E050-A8C063054F34},465000,10/03/2017 00:00,E10 6QH,38    TYNDALL ROAD
{4C4EDFFF-3EF2-1854-E050-A8C063054F34},669950,06/03/2017 00:00,N5 1DW,73A  FLAT 28  DRAYTON PARK
{4C4EDFFF-3EF3-1854-E050-A8C063054F34},154000,17/03/2017 00:00,E5 8BY,18  FLAT 8  KENNINGHALL ROAD
{4C4EDFFF-3EF4-1854-E050-A8C063054F34},2150000,15/02/2017 00:00,N1 8GB,4  FLAT 25  GRAHAM STREET
{4C4EDFFF-3EF5-1854-E050-A8C063054F34},512500,10/03/2017 00:00,E16 1BL,"THE OXYGEN, 18  FLAT 11  WESTERN GATEWAY"
{4C4EDFFF-3EF7-1854-E050-A8C063054F34},436000,17/03/2017 00:00,E8 2BY,17 - 19  FLAT 4  SHACKLEWELL LANE
{4C4EDFFF-3EF8-1854-E050-A8C063054F34},1090000,28/02/2017 00:00,E17 9RX,THE NOOK    CHURCH HILL ROAD
{4C4EDFFF-3EF9-1854-E050-A8C063054F34},515000,23/02/2017 00:00,E16 1BQ,"THE OXYGEN, 18  FLAT 161  WESTERN GATEWAY"
{4C4EDFFF-3EFA-1854-E050-A8C063054F34},380000,17/02/2017 00:00,E8 2BY,17 - 19  FLAT 8  SHACKLEWELL LANE
{4C4EDFFF-3EFB-1854-E050-A8C063054F34},415000,10/02/2017 00:00,E16 1BP,"WESTGATE APARTMENTS, 14  APARTMENT 198  WESTERN GATEWAY"
{4C4EDFFF-3EFC-1854-E050-A8C063054F34},405000,17/03/2017 00:00,E8 2BY,17 - 19  FLAT 11  SHACKLEWELL LANE
{4C4EDFFF-3EFD-1854-E050-A8C063054F34},157062,17/02/2017 00:00,N4 2PQ,378 - 382  FLAT 9  SEVEN SISTERS ROAD
{4C4EDFFF-3EFE-1854-E050-A8C063054F34},645000,01/03/2017 00:00,N7 8PD,12  FLAT 2  CROSSLEY STREET
{4C4EDFFF-3BE6-1854-E050-A8C063054F34},700000,01/02/2017 00:00,N16 6NP,103    OSBALDESTON ROAD
{4C4EDFFF-3BEC-1854-E050-A8C063054F34},555000,03/03/2017 00:00,N16 6HR,91A    FORBURG ROAD
{4C4EDFFF-3BEF-1854-E050-A8C063054F34},412500,13/03/2017 00:00,N8 9QP,17  FLAT 8  HASLEMERE ROAD
{4C4EDFFF-3BF0-1854-E050-A8C063054F34},533000,13/03/2017 00:00,E1W 3SY,RIVERSIDE MANSIONS  FLAT 336  MILK YARD
{4C4EDFFF-3BF2-1854-E050-A8C063054F34},435000,06/01/2017 00:00,E4 6HZ,83    CHINGDALE ROAD
{4C4EDFFF-3BF4-1854-E050-A8C063054F34},430000,21/03/2017 00:00,E7 8DS,39    HALLEY ROAD
{4C4EDFFF-3BF5-1854-E050-A8C063054F34},405000,20/03/2017 00:00,N18 2RQ,8    HESTER ROAD
{4C4EDFFF-3BF6-1854-E050-A8C063054F34},735000,09/02/2017 00:00,E18 2DT,19    BUSHEY AVENUE
{4C4EDFFF-3BF7-1854-E050-A8C063054F34},350000,20/03/2017 00:00,E14 9UR,7    WHITEADDER WAY
{4C4EDFFF-3BF9-1854-E050-A8C063054F34},425000,06/03/2017 00:00,N1 4SH,PORTLAND COURT  FLAT 9  ST PETER'S WAY
{4C4EDFFF-3BFA-1854-E050-A8C063054F34},1860000,22/03/2017 00:00,N16 9JS,154    ALBION ROAD
{4C4EDFFF-3BFC-1854-E050-A8C063054F34},400000,27/03/2017 00:00,E17 6QS,51  UPPER FLAT  MELVILLE ROAD
{4C4EDFFF-3BFD-1854-E050-A8C063054F34},1220000,24/02/2017 00:00,N22 7AE,4    CLYDE ROAD
{4C4EDFFF-3C03-1854-E050-A8C063054F34},190000,08/03/2017 00:00,E10 7JS,BRIDGE COURT  FLAT 30  LEA BRIDGE ROAD
{4C4EDFFF-3C04-1854-E050-A8C063054F34},306000,14/03/2017 00:00,E13 8LL,4    ADINE ROAD
{4C4EDFFF-3C05-1854-E050-A8C063054F34},550000,24/02/2017 00:00,E18 2HP,12    BRESSEY GROVE
{4C4EDFFF-3C06-1854-E050-A8C063054F34},828000,24/02/2017 00:00,E2 0JH,34    GAWBER STREET
{4C4EDFFF-3D6C-1854-E050-A8C063054F34},640000,20/03/2017 00:00,E14 9GR,8  FLAT 14  SELSDON WAY
{4C4EDFFF-3D6F-1854-E050-A8C063054F34},480000,24/02/2017 00:00,E1 8RL,1  FLAT 123  PRESCOT STREET
{4C4EDFFF-3D7A-1854-E050-A8C063054F34},265000,10/02/2017 00:00,E13 8EP,129    CROYDON ROAD
{4C4EDFFF-3D7B-1854-E050-A8C063054F34},142000,27/01/2017 00:00,N9 7EL,169A  FLAT 1  HERTFORD ROAD
{4C4EDFFF-3D7D-1854-E050-A8C063054F34},310000,17/03/2017 00:00,E3 4BL,1A    LOCKHART STREET
{4C4EDFFF-3D7F-1854-E050-A8C063054F34},415000,03/03/2017 00:00,E14 9QD,"AEGON HOUSE, 13  FLAT 45  LANARK SQUARE"
{4C4EDFFF-3D80-1854-E050-A8C063054F34},186000,09/03/2017 00:00,E13 0LW,8    DIMSDALE WALK
{4C4EDFFF-3D81-1854-E050-A8C063054F34},720000,02/03/2017 00:00,E14 8LZ,"VANGUARD BUILDING, 18  FLAT 122  WESTFERRY ROAD"
